Product,Price,Link,Worth?
 
Apple Macbook Pro 13 Laptop / i5 2.3GHz 8GB RAM 256GB SSD / 2 YEAR WARRANTY ,465,https://www.ebay.com/itm/Apple-Macbook-Pro-13-Laptop-i5-2-3GHz-8GB-RAM-256GB-SSD-2-YEAR-WARRANTY/332888393428?_trkparms=ispr%3D1&hash=item4d81b1c6d4:g:3XMAAOSwd0pdqACB&amdata=enc%3AAQAFAAACcBaobrjLl8XobRIiIML1V4Imu%252Fn%252BzU5L90Z278x5ickkCrLl8erj3ATP5raQxjc%252F%252B%252FgDtLyKl7ydr%252FjjAlbCrebfKnX7FtEP0ER25kLYlw0mpb26SEY9jFc744b3546rndpulAeRhWkechQBTl3wpneJ2uLlRsRbtXaXOlhvvGkA3VN%252Fu17ocMLH%252BiGviJVD3XUuWhNWKy9ltndCwiaYd8i2tJKwvjMnMNx1rWjsAmxaFsbdoSHbf0RWGFZ6c1yNLiV%252B0o2oht9lIRh9nxE2mgGyTnDe7UY4T3JRrG1cunAx3acINF142LBqCFU2lz4DZ2p3ElBRetQbk8P%252BjMosOqUxwKqVJDVCJ%252BaSkXzejNXa6YDxDRSpQC5cBsfCT3MsyBfEIuFqR3TnHn5nMRugu1G10tip5B6TkItDdf6tQNzUDRlH%252Bf3vhSyPb2Uwlo%252F4onoATSs3tJViBNzJ7ePpn3uefE03tkt4B6BBH4Rcy%252FhU5MZhBIcRMjI0jyHvVk3QvyFivy9FYPo%252F%252Bmg%252FtRYSyy7ynhcmodhrjwvzQmdP9Xs7ya6xAlijwSXL4TD3CLyFoH7N6n8FjxTEiECugEOtX48I01C1GSQ8JcUWxIIXt2%252BHX4el9DXWUyAHZXnwsWRO1PXQpnaBz%252B8%252FvNnbZM%252FP2NGJlKqR8jBlWPsOqUL5hO2xAFGCdkfPowEU%252Fpo2eH1tM5WgK4SGcTpIboYkHvs5n%252F4EdVdB5WmjDPWCXiyM8e0Nq0rXvcZxrG5OdZVuAWdMWAOfEIxs1bBy8bIDmrBO%252BAAApLAa5M7uVIKbXtPQ2xXTZzq0rir01VEih8FvBUZgbw%253D%253D%7Ccksum%3A3328883934282973e3fbe22244d2b714e3577f5cbc1c%7Campid%3APL_CLK%7Cclp%3A2334524,True
"MACBOOK PRO 13"" RETINA * CORE i7 * 16GB RAM 1TB SSD  3 YEAR WARRANTY * OS-2019",380,https://www.ebay.com/itm/MACBOOK-PRO-13-RETINA-CORE-i7-16GB-RAM-1TB-SSD-3-YEAR-WARRANTY-OS-2019/203013734734?_trkparms=ispr%3D1&hash=item2f448fc14e:g:WNYAAOSwqtZfiYgn&amdata=enc%3AAQAFAAACYBaobrjLl8XobRIiIML1V4Imu%252Fn%252BzU5L90Z278x5ickkrmmq8hWevtuKE7%252F%252BLfVXtql74JoY23vcT5oOazCQ81dWzV0BshpmTO3P%252F%252F1NIZbTthS%252FEKV2AiXA%252FSHjdWCzncyCD8a9Ocw4kvBY0VGg6Nc2BNxp%252BWTbjXt7q5L3OXp6MxHfH1CjpV3aO%252BKHWP3wBTc%252BOvaNJVfCABgGfu0rjomCHBYJrsGF%252BOiQD%252F18EEfRAIR9SwrOX8Ox9oTTvl%252FP7%252FVCe1fOYlIxDwUn6IvzrHAEBa5RBWiKNwPYZuPAGVOOam9Kt9mFXsDtxYNCl3DWkEotGbipy6TFJ4SV4U9JTeeT06XLxs2r%252BqYJdb9FDSj%252FTJNA5uHdKJGrUSslgRJkmBlkwzboGTgQhU572oFzfpYGnjLTXPAtj4y8nOqfrL4OQNJSYYaxlqfv56rLzbIp5GdYDXTuy31lU%252F1VvDxQeBXFwzOJU%252Bc7tcv23D3XoT32DZ9lGDQgVsSAEQMWbyg%252F9ALalrGsb0Wfng1ZPR61N995PTul9u6SzQNcuRDyFt9W6HKpzVaJrQn2DQEZVgYoK6ijsp4KQsMi99afZKLVkckFVL7lrB9fRF1gm2KSRG3LezR7ibMro1XnD9JRu3FxIa3JmTmJsbsv%252FN78wJ%252FOC0fUyQlYrirAwwwAy83xexnWJ6udm0ApjsxfPn4UkcSXhOYaWEMGly2afmXzcRBikGufGu8k3ItTexoDFZsB%252FAdmbTwyqd4ymHXLk%252FKo1NzYzUsEKePJyQ6fXX33GkrIczDLCL4P3WcFMcqiD3hSFlDG%7Ccksum%3A2030137347342973e3fbe22244d2b714e3577f5cbc1c%7Campid%3APL_CLK%7Cclp%3A2334524,True
"APPLE MACBOOK PRO 13""  PRE-RETINA / CORE i7 / 16GB / 1TB SSD / WARRANTY OS-2015",369,https://www.ebay.com/itm/APPLE-MACBOOK-PRO-13-PRE-RETINA-CORE-i7-16GB-1TB-SSD-WARRANTY-OS-2015/283997200757?_trkparms=ispr%3D1&hash=item421f8d6175:g:uE0AAOSwe~Ze~hkN&amdata=enc%3AAQAFAAACYBaobrjLl8XobRIiIML1V4Imu%252Fn%252BzU5L90Z278x5ickk7PdDazAlGltMLJlUhrWsD%252Bl2dz5rndBMJrgaulUHv2MnKG1kCjXFZaaYqvsAxwa1PoXqCQKoFCpU6doFriMLvKtcKHMbKrEj97o6214tGg6eI6r130aPwJYHecFjEkhgCdxOYQU8NAll59b%252FIgij9FEpHU1%252F7vjmfd97Voqfi6og6VeS24cWH%252BDV5cL8Y6vHser77KscbRgRAYK4%252FSGdeOxpnaBI3nCHoNcOgONgWzyDo8Jhqu%252BOkhPrdToXrzhEyLvmHT%252Bs5PTn1Gl%252F%252BmL8sUT5pnWFZRtANsM4Kjd5HiB88ZYGTd6yZKGe%252BLP9YvoyUhy%252F4RQBLf1gKxcJL5azB1goKTOWCFoIa5l%252BPuuYcgAiGntwk96%252BjPNqyiP5jqroBCAjVrs9%252BBbzkwfnSyeqnhHvz6q1v7%252BmnCNvxnVqVHOoj73K9yF%252BmB8DxpRSe23LgvBjxrcw%252FwZy2SEGK%252Berd3rV6R50wVXmbLoJiJ7ktPZvqQY%252F9rH97OOQrWC63Mm%252B9wrRuF91R55kgKe6FffPQLqRacpHwFmNrf0wgdufn52q9Ffl2tN8pEJtMV%252B7nxC19QvQBZJ37%252B342SgHitx8yJuaaJF44tP78Pj%252FlO8GZFhz5U%252FaOj16t9Zj0QqLcq9o3qjcYhOaebpu00U%252BjNKQuyiygNRc0YfQevx0u%252BxN5mhJ2d1S%252BPtPYzdVinxu9KMAvo7BKpozTFRQMubOVKsVqMIUdNwffpIBwjsVsvLKPVVjVQcGIlfmkKZOsIp7wZ%252B2%7Ccksum%3A2839972007572973e3fbe22244d2b714e3577f5cbc1c%7Campid%3APL_CLK%7Cclp%3A2334524,True
"APPLE MACBOOK PRO 15"" RETINA / RADEON R9 / CORE i7 / 16GB / 1TB SSD / OS-2019",552,https://www.ebay.com/itm/APPLE-MACBOOK-PRO-15-RETINA-RADEON-R9-CORE-i7-16GB-1TB-SSD-OS-2019/283945999845?_trkparms=ispr%3D1&hash=item421c801de5:g:rrQAAOSwjAJfC4Xl&amdata=enc%3AAQAFAAACYBaobrjLl8XobRIiIML1V4Imu%252Fn%252BzU5L90Z278x5ickk7PdDazAlGltMLJlUhrWsDwqMyjoYcSxBK3oG43ptWG8josMi%252B9u40VSU2eY%252BV15d4YpUjLxD%252FRUc2xavk0QwwONxEB2Hoo9ljc0SHVIhimHniUtgLOlYQQWX9ATy0Kq7zgIJStLF6pZjDCqZiHwJ1plnnluKzv%252FL9zqBulnxSEzVL5Yi%252FUGoeOcYIN0DH0ucB9Dzn82UDB%252BTD3SksnY8diXuOzN11EoFcUWWsqpMIvIAlcw2YCNpg2eM%252Besli%252Bw%252B%252BEwxroZggWOxRzJL3pZtw2ehkSc7%252FYOMw9qGQbJXfD9uo5HpFISSzGiXgsbuJMyVl0Hqt3f98M4Wkj0h1kSHHUspT6ZMvmFOuKRUmv1G3BnIrOWOMxB23M3652VEtTwwaiDYNYZi7Qpybgp6eXpFY2JXj%252Fp1z9kbHF9EWCVZ4gu%252Fs3VSqkn1Bexi1CLCWnGol491%252BYx8ryBLwZGBTl7rlA3kxxy0Qo2lpEHDSNXNJIJ17jOq8nymDj6NjB0GfV41e4qFVz3Aq92LKo%252B7w38bozWkf7Nyt5Q6Rg7HxQedldtroq6TOUcq7XO%252BpDk0vgxHZLHaiXSXBahLHrpF4PeWYgMEFpmGN8Xxwa2e%252BLCttsMMHR3GDFmNyaH4HEQ6iwzEgnckYz7e6Tt8s1iTyL7LspN8GilPBEkPdCKZumgdeerksp2C0D7siutokZlRUa3cGOxgNygljOML9nwMPP0sfbMnlBDl4bVEu2plkJeJ7fQyLhynsvc163kG8rQzVJ5q%7Ccksum%3A2839459998452973e3fbe22244d2b714e3577f5cbc1c%7Campid%3APL_CLK%7Cclp%3A2334524,True
New ListingApple MacBook Pro 13 inch 500GB Intel Core i5 4GB A1278 EMC 2554,468,https://www.ebay.com/itm/Apple-MacBook-Pro-13-inch-500GB-Intel-Core-i5-4GB-A1278-EMC-2554/313281918883?epid=1828471892&hash=item48f10eb7a3:g:ub4AAOSwEVhfnsF2,True
"SLEEK Apple MacBook Pro 13"" 2.3GHz Core i5 ~ 8GB RAM ~ 256GB SSD + WARRANTY",811,https://www.ebay.com/itm/SLEEK-Apple-MacBook-Pro-13-2-3GHz-Core-i5-8GB-RAM-256GB-SSD-WARRANTY/254701910994?_trkparms=ispr%3D1&hash=item3b4d6abbd2:g:OaAAAOSwYFpfoCSR&amdata=enc%3AAQAFAAACYBaobrjLl8XobRIiIML1V4Imu%252Fn%252BzU5L90Z278x5ickkrDx%252B2NLp21dg6hHbHAkGMR%252BpX%252F9hVfKS9XawgXk0g%252BRtp0ufB8rKL15rKXKmVNnVvEpBp9rAo7R76PpoevowzS0gGllROspkc9WgERZwlPIz3BOhJHLpZoGN9LKI4oxuWRIU9IhezKh5y20UrBcDxCgKjomX3kD3yObwxgVql%252B4ZBPtjaNQ1TJ7SPGcYQj%252B26hkHMNJkm5Xqd1IEIquIB059PcijZ1yO%252F3EfX1HKD%252F5t7A6D2bMgEgEfpH%252BVxHWqhhdGDmAE0mJRpbPl44X0L3vIePpMvQkqjul6NK45PgHSO8As7VU%252BP0xwSbY86yW2%252BtnKpwSdFaYZRSY5AenC2POaDMaa0jIqQe4WeaCn4mERJaAlbIUW%252FTQ3eRaGK1AV3%252FvFxWYH6UkKe7p8y4u9S82md1IxCJYrYJjpnYaRVkyEa2QgM5UdM4LPYDqZIIuQrTukgXi9Wak6S5a7nBl4yTqvZdr1uHNcdRRR%252BFzZbG8ehm7oH4bW9s7lBtSO89WsbFoxSJ3CHqniEEqeVyKeOLc%252FMk%252F8GcxfCAsTUGJc1%252FsSaxpME%252BemlQymjkebMFtOIdK30FN0vExBASFgrpm4rZzM4b7Dabw3ANQ4JBRvX60VLinQ8x4KuearvdyhkMDd0ILDWsTphalNUJkgBfgE5z1gn%252FY%252BbpJpjV3MpwxiN8pv2BJv6XoyQQus5MeqUe6gsAVPj75Z%252FQp5KQumM2%252Fn1niGiq9xjgbJwihxKP6V%252BVhcOiEh1mePNOGDJEcGsMtU%7Ccksum%3A2547019109942973e3fbe22244d2b714e3577f5cbc1c%7Campid%3APL_CLK%7Cclp%3A2334524,True
"New ListingApple Retina MacBook Pro 15.4"" i7 Quad Core, 16GB RAM, 768GB SSD, CTO Powerful!",563,https://www.ebay.com/itm/Apple-Retina-MacBook-Pro-15-4-i7-Quad-Core-16GB-RAM-768GB-SSD-CTO-Powerful/293810899565?epid=18004721259&hash=item44687e8a6d:g:FRcAAOSwsaxfn7TX,True
Macbook Pro 13 Inch - Mid 2012,430,https://www.ebay.com/itm/Macbook-Pro-13-Inch-Mid-2012/224209311499?hash=item3433ea970b:g:UzcAAOSwIWtflpqF,True
"New ListingApple MacBook Pro 13.3"" 256GB Laptop - MLL42LL/A (October, 2016, Space Gray)",342,https://www.ebay.com/itm/Apple-MacBook-Pro-13-3-256GB-Laptop-MLL42LL-A-October-2016-Space-Gray/293811351297?epid=231208399&hash=item4468856f01:g:odoAAOSw8xVfoBxh,True
